,datetime,instrument,score,exp_name,rid,weight,real_label,error,abs_error
0,2026-09-14,SH600000,0.002590004837859632,EXP_CatBoostModel_Alpha158_csi300_custom_step0_s_20260914_20,e5e3c80a49ce42e9b32e0d0cc15419b7,0.041,,,
1,2026-09-14,SZ000617,-0.08421623706817627,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260914_18,9a39263961e64509984465c43f94fead,0.071,,,
2,2026-09-14,SZ000596,-0.0073233856819570065,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260914_18,9a39263961e64509984465c43f94fead,0.071,,,
3,2026-09-14,SZ000568,-0.009377967566251755,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260914_18,9a39263961e64509984465c43f94fead,0.071,,,
4,2026-09-14,SZ000538,0.02599097602069378,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260914_18,9a39263961e64509984465c43f94fead,0.071,,,
5,2026-09-14,SZ000425,-0.0678153708577156,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260914_18,9a39263961e64509984465c43f94fead,0.071,,,
6,2026-09-14,SZ000408,-0.004262571223080158,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260914_18,9a39263961e64509984465c43f94fead,0.071,,,
7,2026-09-14,SZ000625,-0.0068702660501003265,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260914_18,9a39263961e64509984465c43f94fead,0.071,,,
8,2026-09-14,SZ000338,0.003361233975738287,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260914_18,9a39263961e64509984465c43f94fead,0.071,,,
9,2026-09-14,SZ000301,-0.014678115025162697,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260914_18,9a39263961e64509984465c43f94fead,0.071,,,
10,2026-09-14,SZ000166,-0.013239962980151176,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260914_18,9a39263961e64509984465c43f94fead,0.071,,,
11,2026-09-14,SZ000157,0.0032417969778180122,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260914_18,9a39263961e64509984465c43f94fead,0.071,,,
